,index,message,category,message_length,message_parsed
2,2,ให้อาจารย์เซ็นเรียบร้อยแล้วครับ,T,31,
4,4,โอเคครับ ผมขอเอาไปให้อาจารย์เซ็นก่อนครับ,T,40,โอเค  
7,7,ขอโทษครับ ผมลืมถามเรื่องลายเซ็นต้องมีของอาจารย์ที่ปรึกษากับอาจารย์รายวิชาเลยไหมครับ,T,83,ขอโทษ  
10,10,ส่งให้พี่วันศุกร์ นะคะ,S,22,พี่ ศุกร์  
13,13,กรอกใบสมัครด้วยนะ,A,17,
16,16,อาจารย์คุยกับน้องแล้วใช่ไหม,Q,27,
17,17,เวลาทำงาน,S,9,
18,18,การทำงาน คือ ทำ 6 ชม. ต่อสัปดาห์นะคะ,S,36,การทำงาน     ทำ  
24,24,อาจารย์ เค้าทักมาคุยยัง,Q,23,อาจารย์  
27,27,เดียว อ.สมชัย จะติดต่อเราผ่านทางเฟสบุ๊ค นะคะ,T,44,  สม ชัย   ติดต่อ เฟส บุ๊ค  
30,30,พี่ขอเบอร์โทรเราหน่อย,Q,21,
32,32,เวลาไม่ชนครับ ผมขอทราบลักษณะงานก่อนนะครับ,Q,41,เวลา ชน  
36,36,ช่วงดังกล่าว มีเรียนไหม,Q,23, 
38,38,ทำงาน วัน จันทร์ เวลา 13.00 - 16.00 และวันพุธ เวลา 13.00 -16.00น.,S,65,ทำงาน     จันทร์   เวลา   พุธ   เวลา  
39,39,พี่จะขอทาบทามเรา เป็นTA วิชา 241-151 หลักสูตร IA หน่อยได้ไหม,Q,60,พี่ ทาบทาม   ta   วิชา   หลักสูตร   ia  
40,40,เทอมนี้ เรารับทุน ผู้ช่วยสอน วิชา ไหนบ้าง,Q,41,เทอม   รับทุน   ผู้ช่วย สอน   วิชา  
45,45,Template รายงานการฝึกงานของนักศึกษา (ฉบับสมบูรณ์),A,49,template   รายงาน การฝึกงาน นักศึกษา  
46,46,มีหัวข้ออยู,A,11,
48,48,ขอสอบถามเรื่องรายงานฝึกงานครับว่ามีจำกัดจำนวนหน้าขั้นต่ำที่ต้องทำส่งไหมครับ,Q,75,
51,51,ให้พี่เลี้ยงเซ็นมา แล้วส่งทางจดหมายได้เลย,A,41,พี่เลี้ยง เซ็น  
54,54,จะขอสอบถามเรื่อง ใบประเมินจากบริษัท ที่ต้องส่งให้ภาควิชาฯจะเป็นเอกสารเดียวกันที่อยู่บนหน้าเว็บของ internship(http://www.academic.eng.psu.ac.th/internship) ไหมครับ,Q,162,สอบถาม เรื่อง   ใบ ประเมิน บริษัท   ภาควิชา เอกสาร ที่อยู่ หน้า เว็บ  
56,56,แบบรายงานTAเดือนมีนาคมเรียบร้อยแล้วครับ,A,39,
58,58,แบบรายงานTAเดือนกุมภาพันธ์เรียบร้อยแล้วครับ,A,43,
60,60,แบบรายงานTAเดือนมกราคมเรียบร้อยแล้วครับ,A,39,
62,62,ได้หน้าเล่มมาแล้วครับ,A,21,
64,64,พี่มลครับ รับอุปกรณ์รายวิชา 240-302 ที่แจ้งไว้คือรับได้ตั้งแต่วันไหนหรอครับ,Q,75,พี่ มล   อุปกรณ์ รายวิชา  
69,69,ไปเปิดบัญชี ได้ไหม,Q,18,เปิดบัญชี  
70,70,บ้านอยู่ไหนค่ะ,Q,14,
73,73,มีของ ไทยพาณิช ที่ เปิดในจังหวัด สงขลา ไหม,Q,42,  ไทย พาณิช     จังหวัด   สงขลา  
81,81,ได้ครับ สักครู่นะครับ,A,21, 
82,82,สำเนาบัญชี ธนาคารด้วยนะคะ,A,25,สำเนา บัญชี  
85,85,ให้อาจารย์เซ็นเดือนธันวาคมเรียบร้อยแล้วครับ,T,43,
87,87,ตรวจการบ้านไปประมาณ 2 ชิ้นครับ,A,30,ตรวจ การบ้าน  
88,88,ทำกี่ครั้งค่ะ,Q,13,
89,89,เดือน ธ.ค.,S,10,เดือน  
94,94,ไม่ยังส่งเอกสาร เบิกเหมือนกัน,A,29,เอกสาร  
95,95,มีเฟ๊ส ไหม,Q,10,เฟ๊ส  
96,96,แล้วอีกคน ที่เป็น TA กับน้องนะคะ,T,32,คน     ta  
99,99,กรอกคำว่า ตรวจการบ้าน อย่างเดี่ยวเลยค่ะ,A,39,กรอก   ตรวจ การบ้าน  
