,messages
0,ขอบคุณค่ะ
1,โอเคค่ะ
2,ให้อาจารย์เซ็นเรียบร้อยแล้วครับ
3,ได้ค่ะ
4,โอเคครับ ผมขอเอาไปให้อาจารย์เซ็นก่อนครับ
5,ทั้งสองคนเลย
6,มีค่ะ
7,ขอโทษครับ ผมลืมถามเรื่องลายเซ็นต้องมีของอาจารย์ที่ปรึกษากับอาจารย์รายวิชาเลยไหมครับ
8,เคค่ะ
9,ได้เลยครับ
10,ส่งให้พี่วันศุกร์ นะคะ
11,ขอบคุณค่ะ
12,โอเคครับ
13,กรอกใบสมัครด้วยนะ
14,เคค่ะ
15,คุยแล้วครับ
16,อาจารย์คุยกับน้องแล้วใช่ไหม
17,เวลาทำงาน
18,การทำงาน คือ ทำ 6 ชม. ต่อสัปดาห์นะคะ
19,มีตรวจงานบ้าง
20,งาน ก็มี ช่วยดูระหว่างน้องลงแลบ ค่ะ
21,น้องครับ
22,เคค่ะ
23,ยังเลยครับ
24,อาจารย์ เค้าทักมาคุยยัง
25,ขอบคุณค่ะ
26,รับทราบครับ
27,เดียว อ.สมชัย จะติดต่อเราผ่านทางเฟสบุ๊ค นะคะ
28,เคค่ะ
29,087-6313043 ครับ
30,พี่ขอเบอร์โทรเราหน่อย
31,ได้ค่ะ
32,เวลาไม่ชนครับ ผมขอทราบลักษณะงานก่อนนะครับ
33,ได้ค่ะ
34,สักครู่นะครับ กำลังเช็คตารางอยู่ครับ
35,ถ้าได้ พี่ให้คุย กับอ.สมชัย ถามลักษณะงานก่อน
36,ช่วงดังกล่าว มีเรียนไหม
37,ได้ไหม
38,ทำงาน วัน จันทร์ เวลา 13.00 - 16.00 และวันพุธ เวลา 13.00 -16.00น.
39,พี่จะขอทาบทามเรา เป็นTA วิชา 241-151 หลักสูตร IA หน่อยได้ไหม
40,เทอมนี้ เรารับทุน ผู้ช่วยสอน วิชา ไหนบ้าง
41,สวัสดีค่ะ
42,ผม 6210110297 รชานนท์ คงชาย ครับ
43,โอเคครับ ขอบคุณครับ
44,เขียนมาให้ครบ นะคะ
45,Template รายงานการฝึกงานของนักศึกษา (ฉบับสมบูรณ์)
46,มีหัวข้ออยู
47,ไม่จำกัดค่ะ
48,ขอสอบถามเรื่องรายงานฝึกงานครับว่ามีจำกัดจำนวนหน้าขั้นต่ำที่ต้องทำส่งไหมครับ
49,รับทราบครับ ขอบคุณครับ
50,ใส่ซอง มานะ
51,ให้พี่เลี้ยงเซ็นมา แล้วส่งทางจดหมายได้เลย
52,อันเดี่ยวกันค่ะ
53,ครับ
54,จะขอสอบถามเรื่อง ใบประเมินจากบริษัท ที่ต้องส่งให้ภาควิชาฯจะเป็นเอกสารเดียวกันที่อยู่บนหน้าเว็บของ internship(http://www.academic.eng.psu.ac.th/internship) ไหมครับ
55,เคค่ะ
56,แบบรายงานTAเดือนมีนาคมเรียบร้อยแล้วครับ
57,เคค่ะ
58,แบบรายงานTAเดือนกุมภาพันธ์เรียบร้อยแล้วครับ
59,เคค่ะ
60,แบบรายงานTAเดือนมกราคมเรียบร้อยแล้วครับ
61,เคค่ะ
62,ได้หน้าเล่มมาแล้วครับ
63,มารับได้เลยค่ะ
64,พี่มลครับ รับอุปกรณ์รายวิชา 240-302 ที่แจ้งไว้คือรับได้ตั้งแต่วันไหนหรอครับ
65,เคค่ะ
66,รับทราบครับ ขอบคุณครับ
67,ถ้าได้แล้วรีบ ส่งมานะ
68,ต้องทำเรื่องภายในวันไหนอะครับ ผมคิดว่าวันศุกร์จะไปขอหน้าบัญชีของ มอ มาครับ
69,ไปเปิดบัญชี ได้ไหม
70,บ้านอยู่ไหนค่ะ
71,ของผู้ปกครอง ใช้ไม่ได้ค่ะ
72,มีของผู้ปกครองอะครับ
73,มีของ ไทยพาณิช ที่ เปิดในจังหวัด สงขลา ไหม
74,การเงิน เค้าไม่รับอะ
75,มีของ ธนาคารออมสิน ครับ
76,ตอนนี้ มีของ ธนาคาร อะไรเอ๋ย
77,ถ้าใช้เป็นหน้าแอปที่แสดงเลขบัญชีได้ไหมครับ ผมยังไม่เคยไปขอหน้าเล่มบัญชีเลยครับ
78,ไทยพาณฺชย์ ของ มอ. นะคะ
79,ใช้บัญชีธนาคารไหนก็ได้ไหมครับ
80,เคค่ะ
81,ได้ครับ สักครู่นะครับ
82,สำเนาบัญชี ธนาคารด้วยนะคะ
83,น้องครับ
84,เคค่ะ
85,ให้อาจารย์เซ็นเดือนธันวาคมเรียบร้อยแล้วครับ
86,เคค่ะ
87,ตรวจการบ้านไปประมาณ 2 ชิ้นครับ
88,ทำกี่ครั้งค่ะ
89,เดือน ธ.ค.
90,ครับ
91,น้องครับ
92,ขอบคุณค่ะ
93,เคค่ะ
94,ไม่ยังส่งเอกสาร เบิกเหมือนกัน
95,มีเฟ๊ส ไหม
96,แล้วอีกคน ที่เป็น TA กับน้องนะคะ
97,เคค่ะ
98,รับทราบครับ
99,กรอกคำว่า ตรวจการบ้าน อย่างเดี่ยวเลยค่ะ
100,ตรงงานที่ทำ
101,กรอก 3 ชั่วโมง ต่อ สัปดาห์
102,ตรงชั่วโมงตรวจการบ้าน กรอกอิงจากอะไรหรอครับ
103,เดี่ยวพี่ให้เซ็นเอง
104,ในส่วนของหัวหน้าภาค เว้น ไว้ค่ะ
105,แล้วก็ ให้อ.สุธน เซ็น ด้วยนะคะ
106,มีตัวอย่างการกรอก อยู่ ในเอกสาร ค่ะ
107,กรอกข้อมุล ส่งของเดือน ธันวาคม มาก่อนนะ
108,แบบฟอร์ม ค่ะ
109,ใช่ครับ ยังไม่ได้ส่งเลย
110,ครั้งที่แล้วยังไม่ส่งเอกสารเบิกจ่ายหรือค่ะ
111,หลังจากนั้น คณะจะทำเรื่องเบิกเงินให้ค่ะ
112,เช่น สิ้นเดือน มกรา ก็ให้ส่ง ต้นเดือนกุมภาค่ะ
113,พี่จะส่งทุก ทุกวันที่ 1 ของเดือนถัดไปที่เรา ทำงานค่ะ
114,เอกสาร ส่งเหมือนตอนเดือน ธันวาค่ะ
115,สวัสดีครับพี่มล ตอนนี้ผมคิดว่าจะทำเรื่องเบิกเงิน TA รายวิชา 240-124 ครับ แต่ยังไม่เคยทำ TA เลยยังไม่ทราบรายละเอียดสักเท่าไหร่เลยครับ รบกวนพี่มลแจ้งช่องทางหรือบอกรายละเอียดได้ไหมครับ ขอบคุณครับ
116,resume ครับ
117,หนังสือรับรองเข้าฝึกงานจากบริษัทครับ
118,พิมพ์เบอร์มาค่ะ
119,สะดวกคุยไหม
120,ต้องเป็นเอกสารแบบไหนหรอครับ
121,หมายถึง บริษัท เค้าต้องการหรือค่ะ
122,ขอโทษครับเดี๋ยวจะส่งกลับมาใหม่อีกครั้งนะครับ
123,ส่งผิดแบบฟอร์ม แล้วค่ะ
124,น้องครับ
125,รบกวนด้วยครับ
126,ใบสมัครงาน
127,สวัสดิ์ดีครับ ผมขออนุญาติส่งเอกสารฝึกงานนะครับ
128,เคค่ะ
129,ผมไม่ค่อยสะดวกเท่าไหร่ครับ ตารางเวลาค่อนข้างเต็ม ขออภัยด้วยครับ
130,ทำงาน 3 ชม.ต่อสัปดาห์นะคะ
131,"อันนี้ คือช่วงเวลาเรียน
จันทร์ 11.00 - 11.50
พุธ 09.00 - 10.50
ศุกร์ 10.30 - 11.50

แต่เวลาทำงาน น่าจะนอกเวลา นะคะ"
132,ตอนนี้คุณสามารถส่งข้อความ โทรหากันและกัน และดูข้อมูลบางอย่างได้ เช่น สถานะกำลังใช้งานของคุณและเวลาที่คุณอ่านข้อความ
133,"พี่ทาบทาม เราเป็น TA
FUNDA MATHEMATICS FOR ENGINEER
แม็ท ของ ปี 1
ได้ไหม
งาน คือ ติว กับตราจการบ้าน
ทำกับ อ.มนตรี และอ.ธเนศ"
134,สวัสดีครับผมนายรชานนท์ คงชาย 6210110297 ครับ
